timecode,transcript
00:00:00.00 - 00:00:19.51,"it was very official, this session is now being reported um Yeah, and we shoot for like 45 minutes, so but we have until one if you want to end early or if you want to keep going to you and there's no wrong answers at all."
00:00:19.51 - 00:00:28.62,"We're just very interested in, you know how you do your work and what kind of workflows you you have and um processes."
00:00:28.63 - 00:00:31.53,"Um so yeah, I'll just introduce myself quickly."
00:00:31.54 - 00:01:07.22,"I am a product designer, I have worked in the city and sustainability space, urban tech and sustainability world for about five years now and um I designed software in that field and really enjoyed speaking to professionals network and you know, those worlds and adjacent um Yeah, I would love to first um here um you know about yourself, any general introduction and especially about your responsibilities and how you came into sustainability as a professional."
00:01:07.23 - 00:01:08.62,Sure.
00:01:08.63 - 00:01:24.91,"Um Well, hi I'm name-extracted, I am the Director of sustainability at comparny-name-extracted um and our team at company-name-extracted were comprised of three people um and we cover both the social impact and environmental responsibility initiatives at the company."
00:01:25.17 - 00:01:37.73,Um We so we have both kind of pieces of sustainability under one team but we all work really cross functionally together to um kind of make sure that we're hitting all of the goals that we've set out for ourselves.
00:01:38.47 - 00:01:57.77,"We actually sit on the supply chain team, so I report directly into the Chief supply chain Officer, which I think is really important to note just because in the apparel and footwear industry um whether you're talking about social impacts and needs or environmental um impacts and kind of risks."
00:01:57.78 - 00:02:27.63,"Uh the majority of those are happening in supply chain um Just kind of the nature of the way that the the industry is kind of set up, so we do everything from social compliance of our audits, you know, auditing for our our upstream suppliers and factories to doing things like setting science based targets, monitoring our restricted substance list and chemical usage, um adhering to our preferred material standards."
00:02:27.63 - 00:02:32.13,We really do quite a lot under this one umbrella of sustainability.
00:02:32.49 - 00:02:53.89,"Um So that's kind of like the behind the scenes work that we do, but we also work really cross functionally with our marketing and creative cohorts across the business to ensure that we're also kind of telling our story in a way that's um validated and transparent and meaningful um and also engaging to our customers."
00:02:53.89 - 00:03:02.10,So we kind of straddle the line of those two sides of doing the work and then helping to tell the story of of what we're doing behind the scenes.
00:03:02.46 - 00:03:05.91,Um I don't know if that's good enough introduction for you.
00:03:05.91 - 00:03:06.49,Okay.
00:03:06.50 - 00:03:09.70,"Yeah, it's really interestingly, yeah."
00:03:09.71 - 00:03:26.76,"Um So I guess we'll start at like the very top and we'll work towards like just very specific like flows but from the highest level, where does the motivation for sustainability um come from?"
00:03:26.76 - 00:03:36.61,"Is it is it really that cause that marketing need or is it something that comes from wanting to a business perspective, or?"
00:03:37.17 - 00:03:45.80,"Yeah, who who is like setting these um initiatives um up as like a core responsibility of the business."
00:03:46.54 - 00:03:48.57,"Yeah, it's probably a bit of both."
00:03:48.57 - 00:04:10.97,"And I would say that we've um we've definitely evolved over the years, but from from the very beginning there's been we our brand just started about 10 years ago, so we're still fairly young and nimble and agile and we're not a huge, you know, organization with very complex, you know, reporting structures and huge teams."
00:04:10.97 - 00:04:12.79,So we're still fairly small.
00:04:12.97 - 00:04:26.19,"And the way that the company was founded was on this idea of transparency first to the customer, we started off by giving full cost breakdowns of all of our garments that we produced on our website and that was really novel at the time."
00:04:26.20 - 00:04:31.79,Um from there we kind of morphed and evolved into transparency of our supply chains.
00:04:31.79 - 00:04:46.21,"So again, we were one of the first companies to um really give insights into the partnerships that we were building upstream of who was actually doing the work of manufacturing, putting together the products that we were creating."
00:04:46.22 - 00:04:56.99,"Um and so that's kind of seamlessly evolved more so into including more of the environmental metrics and also social um metrics as well, which is kind of where we are today."
00:04:56.99 - 00:04:58.63,So it's sort of been part of our D.N.A.
00:04:59.13 - 00:05:18.64,"In one way or another since the very beginning and I think that that core so we've sort of had like a mission driven organization from um from kind of the inception of the brand, it's just kind of taken different different stages depending on on the time of our iteration."
00:05:18.97 - 00:05:26.59,Um So we do have a mission today that is very core to how we work and operate.
00:05:27.15 - 00:05:35.48,"Um And it's it's also our sustainability mission as well, so um I think that's kind of driving at the core."
00:05:35.48 - 00:05:50.05,And then we also have from a very kind of top level perspective all of our c suite in some way shape or form now have sustainability metrics kind of built into their performance uh performance.
00:05:50.06 - 00:05:51.83,Um Kpi s.
00:05:51.84 - 00:05:57.89,Um And so those kind of trickle down into into each of the individual teams that we're working with.
00:05:57.89 - 00:06:05.56,So it's sort of the piece that I think differentiates us and sets us apart but we're also really powerful storytellers.
00:06:05.57 - 00:06:09.76,So um I wouldn't minimize the marketing angle either.
00:06:09.77 - 00:06:15.51,Um I think we really see that as as this is kind of our differentiating feature and we want to talk about it.
00:06:15.52 - 00:06:23.28,Um We also want to create a movement with our customers and with our communities where we're selling and where we're operating so um.
00:06:23.94 - 00:06:24.89,Yeah.
00:06:24.90 - 00:06:25.90,Yeah it's awesome.
00:06:25.91 - 00:06:32.73,Um Yeah I remember whenever linda started um and I was like well this seems like a less expensive.
00:06:32.74 - 00:06:39.30,"Still sure so I'm gonna go there and I've been to the store in Soho, it's a really great experience all through."
00:06:39.31 - 00:06:40.75,Yeah.
00:06:40.76 - 00:06:55.93,"Um So um there's definitely a lot of interesting parts that you've mentioned, but we've heard that there's a lot of from our experience um there's a lot of issues with supply chain um data gathering and management."
00:06:55.94 - 00:06:59.19,Um Would you like what is that process?
00:06:59.19 - 00:07:01.40,"Like, like how do you find your suppliers?"
00:07:01.40 - 00:07:03.13,How do you survey them?
00:07:03.14 - 00:07:05.23,Um how do you audit them?
00:07:05.23 - 00:07:09.92,"And like what is, what are the biggest challenges with your suppliers?"
00:07:11.05 - 00:07:11.95,Oh gosh.
00:07:11.96 - 00:07:15.96,Uh that's a that's a lot of question.
00:07:15.97 - 00:07:23.94,"Um Sorry, I also have Covid right now, so if I might need to mute occasionally just to talk it out."
00:07:23.95 - 00:07:29.26,Um So uh a few different things.
00:07:29.26 - 00:07:44.16,"So we many of our factories, we've actually, I don't know the exact percentage today, it's got to be like 65 70% of the factories that we've worked with, we've actually had relationships with for five years or more."
00:07:44.17 - 00:08:24.43,"So the majority of our upstream suppliers are people that have been in our network for quite a while, but because of a lot of the recent supply chain challenges and changes primarily due to Covid but also for other uh kind of socio political um issues, we have been kind of exploring additional partnerships, so the way that we find um factories and facilities is probably very similar to the way others do just by by researching, we also get a fair amount of um of factories and suppliers reaching out to us because they want to work with us."
