id,timecode,transcript
a,00:00:00.00 - 00:00:19.51,"it was very official, this session is now being reported um Yeah, and we shoot for like 45 minutes, so but we have until one if you want to end early or if you want to keep going to you and there's no wrong answers at all."
a,00:00:19.51 - 00:00:28.62,"We're just very interested in, you know how you do your work and what kind of workflows you you have and um processes."
a,00:00:28.63 - 00:00:31.53,"Um so yeah, I'll just introduce myself quickly."
a,00:00:31.54 - 00:01:07.22,"I am a product designer, I have worked in the city and sustainability space, urban tech and sustainability world for about five years now and um I designed software in that field and really enjoyed speaking to professionals network and you know, those worlds and adjacent um Yeah, I would love to first um here um you know about yourself, any general introduction and especially about your responsibilities and how you came into sustainability as a professional."
a,00:01:07.23 - 00:01:08.62,Sure.
a,00:01:08.63 - 00:01:24.91,"Um Well, hi I'm name-extracted, I am the Director of sustainability at comparny-name-extracted um and our team at company-name-extracted were comprised of three people um and we cover both the social impact and environmental responsibility initiatives at the company."
a,00:01:25.17 - 00:01:37.73,Um We so we have both kind of pieces of sustainability under one team but we all work really cross functionally together to um kind of make sure that we're hitting all of the goals that we've set out for ourselves.
a,00:01:38.47 - 00:01:57.77,"We actually sit on the supply chain team, so I report directly into the Chief supply chain Officer, which I think is really important to note just because in the apparel and footwear industry um whether you're talking about social impacts and needs or environmental um impacts and kind of risks."
a,00:01:57.78 - 00:02:27.63,"Uh the majority of those are happening in supply chain um Just kind of the nature of the way that the the industry is kind of set up, so we do everything from social compliance of our audits, you know, auditing for our our upstream suppliers and factories to doing things like setting science based targets, monitoring our restricted substance list and chemical usage, um adhering to our preferred material standards."
a,00:02:27.63 - 00:02:32.13,We really do quite a lot under this one umbrella of sustainability.
a,00:02:32.49 - 00:02:53.89,"Um So that's kind of like the behind the scenes work that we do, but we also work really cross functionally with our marketing and creative cohorts across the business to ensure that we're also kind of telling our story in a way that's um validated and transparent and meaningful um and also engaging to our customers."
a,00:02:53.89 - 00:03:02.10,So we kind of straddle the line of those two sides of doing the work and then helping to tell the story of of what we're doing behind the scenes.
a,00:03:02.46 - 00:03:05.91,Um I don't know if that's good enough introduction for you.
a,00:03:05.91 - 00:03:06.49,Okay.
a,00:03:06.50 - 00:03:09.70,"Yeah, it's really interestingly, yeah."
a,00:03:09.71 - 00:03:26.76,"Um So I guess we'll start at like the very top and we'll work towards like just very specific like flows but from the highest level, where does the motivation for sustainability um come from?"
a,00:03:26.76 - 00:03:36.61,"Is it is it really that cause that marketing need or is it something that comes from wanting to a business perspective, or?"
a,00:03:37.17 - 00:03:45.80,"Yeah, who who is like setting these um initiatives um up as like a core responsibility of the business."
a,00:03:46.54 - 00:03:48.57,"Yeah, it's probably a bit of both."
a,00:03:48.57 - 00:04:10.97,"And I would say that we've um we've definitely evolved over the years, but from from the very beginning there's been we our brand just started about 10 years ago, so we're still fairly young and nimble and agile and we're not a huge, you know, organization with very complex, you know, reporting structures and huge teams."
a,00:04:10.97 - 00:04:12.79,So we're still fairly small.
a,00:04:12.97 - 00:04:26.19,"And the way that the company was founded was on this idea of transparency first to the customer, we started off by giving full cost breakdowns of all of our garments that we produced on our website and that was really novel at the time."
a,00:04:26.20 - 00:04:31.79,Um from there we kind of morphed and evolved into transparency of our supply chains.
a,00:04:31.79 - 00:04:46.21,"So again, we were one of the first companies to um really give insights into the partnerships that we were building upstream of who was actually doing the work of manufacturing, putting together the products that we were creating."
a,00:04:46.22 - 00:04:56.99,"Um and so that's kind of seamlessly evolved more so into including more of the environmental metrics and also social um metrics as well, which is kind of where we are today."
a,00:04:56.99 - 00:04:58.63,So it's sort of been part of our D.N.A.
a,00:04:59.13 - 00:05:18.64,"In one way or another since the very beginning and I think that that core so we've sort of had like a mission driven organization from um from kind of the inception of the brand, it's just kind of taken different different stages depending on on the time of our iteration."
a,00:05:18.97 - 00:05:26.59,Um So we do have a mission today that is very core to how we work and operate.
a,00:05:27.15 - 00:05:35.48,"Um And it's it's also our sustainability mission as well, so um I think that's kind of driving at the core."
a,00:05:35.48 - 00:05:50.05,And then we also have from a very kind of top level perspective all of our c suite in some way shape or form now have sustainability metrics kind of built into their performance uh performance.
a,00:05:50.06 - 00:05:51.83,Um Kpi s.
a,00:05:51.84 - 00:05:57.89,Um And so those kind of trickle down into into each of the individual teams that we're working with.
a,00:05:57.89 - 00:06:05.56,So it's sort of the piece that I think differentiates us and sets us apart but we're also really powerful storytellers.
a,00:06:05.57 - 00:06:09.76,So um I wouldn't minimize the marketing angle either.
a,00:06:09.77 - 00:06:15.51,Um I think we really see that as as this is kind of our differentiating feature and we want to talk about it.
a,00:06:15.52 - 00:06:23.28,Um We also want to create a movement with our customers and with our communities where we're selling and where we're operating so um.
a,00:06:23.94 - 00:06:24.89,Yeah.
a,00:06:24.90 - 00:06:25.90,Yeah it's awesome.
a,00:06:25.91 - 00:06:32.73,Um Yeah I remember whenever linda started um and I was like well this seems like a less expensive.
a,00:06:32.74 - 00:06:39.30,"Still sure so I'm gonna go there and I've been to the store in Soho, it's a really great experience all through."
a,00:06:39.31 - 00:06:40.75,Yeah.
a,00:06:40.76 - 00:06:55.93,"Um So um there's definitely a lot of interesting parts that you've mentioned, but we've heard that there's a lot of from our experience um there's a lot of issues with supply chain um data gathering and management."
a,00:06:55.94 - 00:06:59.19,Um Would you like what is that process?
a,00:06:59.19 - 00:07:01.40,"Like, like how do you find your suppliers?"
a,00:07:01.40 - 00:07:03.13,How do you survey them?
a,00:07:03.14 - 00:07:05.23,Um how do you audit them?
a,00:07:05.23 - 00:07:09.92,"And like what is, what are the biggest challenges with your suppliers?"
a,00:07:11.05 - 00:07:11.95,Oh gosh.
a,00:07:11.96 - 00:07:15.96,Uh that's a that's a lot of question.
a,00:07:15.97 - 00:07:23.94,"Um Sorry, I also have Covid right now, so if I might need to mute occasionally just to talk it out."
a,00:07:23.95 - 00:07:29.26,Um So uh a few different things.
a,00:07:29.26 - 00:07:44.16,"So we many of our factories, we've actually, I don't know the exact percentage today, it's got to be like 65 70% of the factories that we've worked with, we've actually had relationships with for five years or more."
a,00:07:44.17 - 00:08:24.43,"So the majority of our upstream suppliers are people that have been in our network for quite a while, but because of a lot of the recent supply chain challenges and changes primarily due to Covid but also for other uh kind of socio political um issues, we have been kind of exploring additional partnerships, so the way that we find um factories and facilities is probably very similar to the way others do just by by researching, we also get a fair amount of um of factories and suppliers reaching out to us because they want to work with us."
a,00:08:24.44 - 00:08:55.17,"Um So it kind of depends, we do have a pretty rigorous um uh what we call like a risk assessment where we collect a lot of documentation up front around the kind of performance of the factory, not just on the quality and technical side which we have people in our quality and sourcing and product development teams who are asking about like equipment and machinery and like what kind of no house and you know cost breakdowns and things like that."
a,00:08:55.17 - 00:08:57.89,So there's like a business side of our risk assessment.
a,00:08:58.23 - 00:09:09.31,Um And then more importantly for the sustainability side we do a risk assessment based on um like history of social audit performance.
a,00:09:09.31 - 00:09:16.11,So we ask for historical records um that the the facilities can share with us.
a,00:09:16.11 - 00:09:23.95,We're also looking at um whether or not they have certain certifications that also align with the work that we're doing.
a,00:09:23.96 - 00:09:27.11,Either on a material side or on a process side.
a,00:09:27.11 - 00:09:29.41,So it can be a G.O.T.S
a,00:09:29.86 - 00:09:35.77,Certification for being for producing uh uh organic cotton goods.
a,00:09:35.78 - 00:09:43.22,It can be a GRS certification for being able to produce um certified recycled good materials or products.
a,00:09:43.23 - 00:09:45.38,Um But it can also be like a Z.H.C.
a,00:09:45.85 - 00:09:51.49,Certification which is for um water and chemical practices.
a,00:09:51.49 - 00:09:57.69,So we're kind of looking on on a few different fronts and it sort of depends on what the specialty of that factory is.
a,00:09:58.04 - 00:10:10.18,"But we do, we have like a matrix that we we plug different, um, different performance values into that kind of gives us whether or not this this factory could kind of fit our needs or be a good partner."
a,00:10:10.19 - 00:10:21.05,"Um, I think a big part of what we, what we try to stress is communication and um, we we like to have meetings prior to covid, we would have done a lot of this in person."
a,00:10:21.32 - 00:10:23.86,"Um, but right now we're doing a lot of it over zoom."
a,00:10:23.86 - 00:10:37.12,"So we go through a pretty rigorous, uh, kind of upfront vetting process and then before we ever, um, you know, place any orders or start any production in a factory."
a,00:10:37.12 - 00:10:40.94,"We do our own, um, third party audit assessment."
a,00:10:40.94 - 00:10:46.50,"So we work with a company called Elevate, um, and also another company called arch advisors."
a,00:10:46.51 - 00:10:58.67,"And those are two third party social compliance, um, environmental compliance, uh, companies that, that have a lot of boots on the ground, a lot of, um, throughout the world."
a,00:10:58.67 - 00:11:03.65,"So there, you know, they cover a lot of different geographical regions."
a,00:11:03.65 - 00:11:05.53,They speak a lot of the local languages.
a,00:11:05.53 - 00:11:11.92,They have an understanding of some of the nuances of things like migrant labor and various countries or regions.
a,00:11:11.92 - 00:11:17.18,"And so they we do, we don't do any of this in house because we just don't have the knowledge or expertise."
a,00:11:17.18 - 00:11:24.15,"And we're also um, really contained by what we're able to where we're able to go right now."
a,00:11:24.37 - 00:11:36.60,So we leverage these third parties who go out on our behalf and complete a full audit of each facility far before we ever um would place an order in any factory.
a,00:11:36.61 - 00:11:48.60,"So we do that process and then we continue to do that year after year, just as kind of a um uh on this path kind of we we say towards continuous improvement."
a,00:11:48.61 - 00:12:11.79,"Um so we're tracking kind of progress and outcomes of these audits over time um with the hope that eventually um you know, maybe we won't have to do them anymore, but that's kind of a very far um not something that that that the industry is uh is really ready for, but that's kind of the idea is that all of these places will be operating well."
a,00:12:12.33 - 00:12:17.03,Um And then on the environmental side we use a couple of different tools.
a,00:12:17.04 - 00:12:33.12,"I think first of all, we we try to align ourselves with factories that already inherently have some type of environmental um metric kind of or or they're doing something kind of above and beyond to begin with."
a,00:12:33.12 - 00:12:50.57,So we work with a lot of factories that um are kind of on the cutting edge of various technologies that help with water savings and recovery or chemical management or um just kind of specialize depending on what their expertise is.
a,00:12:50.57 - 00:12:52.05,So you mentioned silk.
a,00:12:52.05 - 00:13:04.21,"So we work with this great factory um in china that uh is leed certified and they have solar solar panels, you know, direct solar on their roofs."
a,00:13:04.21 - 00:13:09.62,And they have this amazing kind of blue sign certified chemical and water recovery process.
a,00:13:09.62 - 00:13:20.49,So we try to find like these special um factories and makers throughout the world to our specialists and what they do but are also doing what they do better than the rest.
a,00:13:20.50 - 00:13:28.14,Um so that's kind of another point that that we really try to search for in building out those long term relationships.
a,00:13:29.11 - 00:13:34.93,But we are also um uh using using a tool called the Hig F.E.M.
a,00:13:35.56 - 00:13:38.96,This is a a tool that the S.A.C.
a,00:13:39.40 - 00:13:45.79,"Or the sustainable apparel coalition has been building for the past, I don't know a decade and a half or something."
a,00:13:46.11 - 00:13:59.88,Um and so the facilities tool specifically is an annual uh kind of survey that has been audited or verified by a third party and and they are collecting information across a number of different indicators.
a,00:13:59.88 - 00:14:13.61,"So we're looking at um air emissions, looking at electricity use, um water use and consumption, water effluent waste generation uh details on materials."
a,00:14:13.62 - 00:14:32.26,"So there's a whole host, it's a very extensive um kind of survey and that's really the best way aside from our our audits that were performing um that's the best way that we're really getting kind of detailed factual information on an environmental perspective from each of our factories."
a,00:14:32.27 - 00:14:47.08,"So we're in the process of rolling this out, I think um about 90% of our Tier one factories are now on boarded and something like 80% of our strategic tier two um are on this platform as well."
a,00:14:47.08 - 00:14:51.90,"So it's a really good way for us to kind of look at the dashboard, so to speak."
a,00:14:51.90 - 00:15:02.16,"It's not really built in a dashboard format that we can download, download the individual results and kind of put them in a big spreadsheet and um see trends and track them over time."
