timecode,transcript
00:00:00.00 - 00:00:01.42,sounds very official.
00:00:01.43 - 00:00:05.02,This session is now being recorded Alright.
00:00:05.03 - 00:00:08.19,"Very official, very official."
00:00:08.20 - 00:00:25.86,Um Okay so we are working on some research with consultants as well as um in house sustainability professionals to improve our products and um I'm a senior product designer here.
00:00:25.87 - 00:00:36.86,I basically have been talking to a lot of different people and well you know it helps us gain information to make our products better so there's no right or wrong answers.
00:00:36.87 - 00:00:45.22,"Um it's you know, your experience, that's a valuable thing here and usually we we take about 45 minutes."
00:00:45.23 - 00:00:53.17,"Um I booked for an hour but it doesn't have to be 45 you know, it's whenever we have like a good conversation around then."
00:00:53.18 - 00:01:19.59,"Um Well I'm gonna ask you questions about just high level general like how you got started and then we can talk about more specific tasks you have issues with that you would love like software solutions for but yeah, before you know I keep going um it would be great to hear about your experience and and how you got into carbon accounting and sustainability."
00:01:20.16 - 00:01:20.97,Sure.
00:01:20.98 - 00:01:22.48,So my name is name-extracted.
00:01:22.48 - 00:01:24.81,I'm a senior associate here at company-name-extracted.
00:01:24.82 - 00:01:26.79,We are a full service E.S.G. Uh consultancy firm.
00:01:29.96 - 00:01:41.28,"So we do everything from the more qualitative report writing gap analysis, materiality assessments all the way to the more technical side of things which involves mainly carbon accounting which is what I do."
00:01:41.29 - 00:01:52.34,Um I joined company-name-extracted after previously being at a firm that specialized in um third party assurance and verification.
00:01:52.35 - 00:02:01.84,"So primarily over carbon greenhouse gas emissions data, but we also touched on like water and waste and DNA metrics as well."
00:02:01.85 - 00:02:11.76,Um but that really allowed me to get a a lot of exposure to a lot of different industries and how they all tackled their various unique issues when it came to carbon accounting.
00:02:11.77 - 00:02:12.78,Prior to that.
00:02:12.79 - 00:02:21.99,"Um My Master's degree, my Master's degree was actually from Colorado state in greenhouse gas, so very specific to the, to the work that I'm doing now."
00:02:21.99 - 00:02:24.20,"So I'm pretty, I'm pretty lucky that this job exists."
00:02:24.21 - 00:02:51.92,"Um and then prior to that, prior to that I my undergraduate degree in environmental science and so really if you want to start the first thing I, the first time I ever really uh um got any experience with carbon accounting at all was doing research on permafrost carbon in Alaska and how that is affecting the carbon cycle and how permafrost thaw is exposing more carbon to be to be um to be released."
00:02:51.93 - 00:02:54.57,So kind of that was a backwards looking way.
00:02:54.57 - 00:02:57,"But yeah, started from an environmental science perspective."
00:02:57.01 - 00:02:58.93,Um kind of moved into it.
00:02:58.94 - 00:03:11.11,"Um looking at inventories on all different levels, even from national government level inventories in some my graduate work and then moving towards the corporate side of things."
00:03:11.12 - 00:03:12.37,Um after I graduated.
00:03:12.38 - 00:03:22.79,"So yeah that's my background um we do inventories for companies that are either, they're really early on in the process taking their first steps."
00:03:22.79 - 00:03:28.61,"They maybe they don't have a program at all yet, or companies that have been doing this for a few years and they just want to make things better."
00:03:28.61 - 00:03:31.70,"They're ready to expand to scope three, they're ready to set targets."
00:03:31.71 - 00:03:39.08,Um That kind of thing is that um does that tend to be very tailored for the customer?
00:03:39.08 - 00:03:41.54,Like how does how does the project begin?
00:03:41.55 - 00:03:44.84,"Yeah, so it really does depend on the customer's needs."
00:03:44.85 - 00:03:57.14,"Um like I said, if, if we just take an example of some customer, a customer who has never done any greenhouse gas accounting before and they've never done that, this is the first year inventory."
00:03:57.15 - 00:04:01.81,Um it really starts by understanding their business and understanding which sources we need to look at.
00:04:01.81 - 00:04:12.55,"So that boundary setting step is um, is one of the trickier parts of the process, but definitely one of the more important understanding, okay, which locations do we need to look at?"
00:04:12.55 - 00:04:14.51,What sources do we need to be looking for?
00:04:14.51 - 00:04:20.58,"Some some clients are very straightforward in which they, okay, we only have leased office space in buildings."
00:04:20.58 - 00:04:23.23,"We that's it, that's our, that's our physical footprint."
00:04:23.23 - 00:04:24.99,We don't even have a vehicle fleet.
00:04:25 - 00:04:34.30,"Um, so those are a lot more straightforward than maybe a hypothetical manufacturing client where they have manufacturing facilities, they burn a lot of fuel."
00:04:34.31 - 00:04:42.08,"Maybe they have a vehicle fleet, maybe they have um, some potential fugitive emissions um from their processes."
00:04:42.09 - 00:04:49.02,"Um and then, so really it starts with understanding each client what their, what their specific needs are."
00:04:49.03 - 00:05:16.21,"Um and then, and then we move into kind of the data collection phase, which as I'm sure you're aware is oftentimes the most challenging, especially especially for clients who have never done this before, collecting data is oftentimes, especially the first time around, usually always a pretty big headache because so I mean some clients have the more established clients of, okay, we have processes in place when we pay our bills, we track our electricity usage as well."
00:05:16.22 - 00:05:20.94,"Maybe they use a bill pay service, like energy or someone like that, That makes things a lot easier."
00:05:20.95 - 00:05:24.37,"But unfortunately those are few and far between most of the time, it's okay?"
00:05:24.38 - 00:05:32.11,"We need to go to our actual locations, go back in time for the years that we're looking to do this inventory for actually collect the data?"
00:05:32.12 - 00:05:37.50,Um That a lot of times and that requires like working with company context to understand.
00:05:37.50 - 00:05:41.20,"Okay, who, who has access to this data, where does it sit?"
00:05:41.21 - 00:05:45.35,Um That's often times the most time consuming part of the process.
00:05:45.36 - 00:05:46.77,Yeah.
00:05:46.78 - 00:05:57.14,"And do you find that the data is consistent throughout, like, let's talk about manufacturing and like support chain and all of that."
00:05:57.15 - 00:06:02.52,"Um Like what I've heard before, is that data comes in all different formats."
00:06:02.53 - 00:06:09.50,"Is that something that you experience, Do you guys have any sort of process around that cleaning it up and making it consistent?"
00:06:09.51 - 00:06:13.11,"Yeah, it definitely comes in all different formats depending on the location."
00:06:13.12 - 00:06:25.99,"If we're just talking about scope one and scope to data usually that's fairly simple enough to to bring together, although it's a little tedious because it normally comes in just okay, this is our electricity bill is their natural gas bill."
00:06:25.99 - 00:06:32.58,"We just have to kind of pull the units off that unless they have a centralized system which like I said, it's few and far between."
00:06:32.59 - 00:06:43.97,"If they do have a centralized system we can run an export and say, okay, what's the usage for all of these sites over the time period we're looking at but then thinking about supply changes in scope three, that's when it gets a lot more inconsistent."
00:06:43.98 - 00:06:57.98,Different companies have different ways of tracking or different levels of tracking um The data that we need a lot of the times for scope three assessments were really starting with kind of that spend based data as part of the initial screening to determine.
00:06:57.98 - 00:06:58.17,Okay.
00:06:58.17 - 00:07:03.56,Which which categories are most relevant material to that company?
00:07:03.57 - 00:07:17.87,"Um And then when we want to move on to more more advanced calculations for things like purchase goods and services, things like downstream transportation, distribution, that's where the data is kind of all over the place depending on the client."
00:07:17.87 - 00:07:18.27,"Right, okay."
00:07:18.27 - 00:07:39.85,"One client may track, we've shipped, we know we've shipped this money units to this location and it went by rail or for example like that but it's really inconsistent I think and I think part of the problem is that only only the companies that are like the furthest along have really established systems to track that kind of information."
00:07:39.86 - 00:07:49.08,Um These I mean and that's talking about a hypothetical client that makes like a physical product for scope three other clients.
00:07:49.08 - 00:07:51.65,When you're thinking about scope three their biggest sources.
00:07:51.65 - 00:08:02.05,"Or maybe it's maybe it's business travel, maybe it's just produce goods and services, employee commuting and business travel is one of the ones that a lot of clients like to start with just because the data is the most available for it."
00:08:02.06 - 00:08:08.03,"And they can, I think they can conceptually understand where the emissions come from when it comes to business travel."
00:08:08.03 - 00:08:10.49,"Like they understand, okay, flying on a plane produces emissions."
00:08:10.78 - 00:08:17.61,Um some of the other categories are a little more nebulous and they require a little more explanation for them to get it to get why we're collecting it.
00:08:17.62 - 00:08:28.99,"Um But yeah, it's definitely that's definitely an issue is okay all the different formats the data comes in and and it's really a fairly manual process to try to get it in the right format that we need."
00:08:29 - 00:08:31.62,Um in order to do the calculations on it.
00:08:31.63 - 00:08:32.58,Yeah.
00:08:32.59 - 00:08:45.74,"And you also mentioned, you mentioned like the business travel is easy for customers to understand what's a not easy want to understand and like what kind of do you have to share resources with them is it?"
00:08:45.74 - 00:08:47.22,Like an education?
00:08:47.23 - 00:08:58.40,"Yeah, sometimes like I think they call clients here scope three and they're like okay, we know we have to do scope three but a lot of times they don't know what the different scope three categories are."
00:08:58.41 - 00:09:02.16,They also don't know where the boundaries begin and end for scope three.
00:09:02.17 - 00:09:09.06,"Um I think you have sold products is definitely something that people struggle with, especially if they don't make like a physical product, right?"
00:09:09.06 - 00:09:17.10,"If if they make a physical products a lot easier to understand, which is really what the protocol is designed to like, that's what is written around."
00:09:17.11 - 00:09:25.75,"It's like a hypothetical product that uses energy um some of those indirect emissions that are optional and then clients are like okay, do we have to account for?"
