,0
0,it
1,was
2,very
3,"official,"
4,this
5,session
6,is
7,now
8,being
9,reported
10,um
11,"yeah,"
12,and
13,we
14,shoot
15,for
16,like
17,45
18,"minutes,"
19,so
20,but
21,we
22,have
23,until
24,one
25,if
26,you
27,want
28,to
29,end
30,early
31,or
32,if
33,you
34,want
35,to
36,keep
37,going
38,to
39,you
40,and
41,there's
42,no
43,wrong
44,answers
45,at
46,all.
47,we're
48,just
49,very
50,interested
51,"in,"
52,you
53,know
54,how
55,you
56,do
57,your
58,work
59,and
60,what
61,kind
62,of
63,workflows
64,you
65,you
66,have
67,and
68,um
69,processes.
70,um
71,so
72,"yeah,"
73,i'll
74,just
75,introduce
76,myself
77,quickly.
78,i
79,am
80,a
81,product
82,"designer,"
83,i
84,have
85,worked
86,in
87,the
88,city
89,and
90,sustainability
91,"space,"
92,urban
93,tech
94,and
95,sustainability
96,world
97,for
98,about
99,five
100,years
101,now
102,and
103,um
104,i
105,designed
106,software
107,in
108,that
109,field
110,and
111,really
112,enjoyed
113,speaking
114,to
115,professionals
116,network
117,and
118,you
119,"know,"
120,those
121,worlds
122,and
123,adjacent
124,um
125,"yeah,"
126,i
127,would
128,love
129,to
130,first
131,um
132,here
133,um
134,you
135,know
136,about
137,"yourself,"
138,any
139,general
140,introduction
141,and
142,especially
143,about
144,your
145,responsibilities
146,and
147,how
148,you
149,came
150,into
151,sustainability
152,as
153,a
154,professional.
155,sure.
156,um
157,"well,"
158,hi
159,i'm
160,"name-extracted,"
161,i
162,am
163,the
164,director
165,of
166,sustainability
167,at
168,comparny-name-extracted
169,um
170,and
171,our
172,team
173,at
174,company-name-extracted
175,were
176,comprised
177,of
178,three
179,people
180,um
181,and
182,we
183,cover
184,both
185,the
186,social
187,impact
188,and
189,environmental
190,responsibility
191,initiatives
192,at
193,the
194,company.
195,um
196,we
197,so
198,we
199,have
200,both
201,kind
202,of
203,pieces
204,of
205,sustainability
206,under
207,one
208,team
209,but
210,we
211,all
212,work
213,really
214,cross
215,functionally
216,together
217,to
218,um
219,kind
220,of
221,make
222,sure
223,that
224,we're
225,hitting
226,all
227,of
228,the
229,goals
230,that
231,we've
232,set
233,out
234,for
235,ourselves.
236,we
237,actually
238,sit
239,on
240,the
241,supply
242,chain
243,"team,"
244,so
245,i
246,report
247,directly
248,into
249,the
250,chief
251,supply
252,chain
253,"officer,"
254,which
255,i
256,think
257,is
258,really
259,important
260,to
261,note
262,just
263,because
264,in
265,the
266,apparel
267,and
268,footwear
269,industry
270,um
271,whether
272,you're
273,talking
274,about
275,social
276,impacts
277,and
278,needs
279,or
280,environmental
281,um
282,impacts
283,and
284,kind
285,of
286,risks.
287,uh
288,the
289,majority
290,of
291,those
292,are
293,happening
294,in
295,supply
296,chain
297,um
298,just
299,kind
300,of
301,the
302,nature
303,of
304,the
305,way
306,that
307,the
308,the
309,industry
310,is
311,kind
312,of
313,set
314,"up,"
315,so
316,we
317,do
318,everything
319,from
320,social
321,compliance
322,of
323,our
324,"audits,"
325,you
326,"know,"
327,auditing
328,for
329,our
330,our
331,upstream
332,suppliers
333,and
334,factories
335,to
336,doing
337,things
338,like
339,setting
340,science
341,based
342,"targets,"
343,monitoring
344,our
345,restricted
346,substance
347,list
348,and
349,chemical
350,"usage,"
351,um
352,adhering
353,to
354,our
355,preferred
356,material
357,standards.
358,we
359,really
360,do
361,quite
362,a
363,lot
364,under
365,this
366,one
367,umbrella
368,of
369,sustainability.
370,um
371,so
372,that's
373,kind
374,of
375,like
376,the
377,behind
378,the
379,scenes
380,work
381,that
382,we
383,"do,"
384,but
385,we
386,also
387,work
388,really
389,cross
390,functionally
391,with
392,our
393,marketing
394,and
395,creative
396,cohorts
397,across
398,the
399,business
400,to
401,ensure
402,that
403,we're
404,also
405,kind
406,of
407,telling
408,our
409,story
410,in
411,a
412,way
413,that's
414,um
415,validated
416,and
417,transparent
418,and
419,meaningful
420,um
421,and
422,also
423,engaging
424,to
425,our
426,customers.
427,so
428,we
429,kind
430,of
431,straddle
432,the
433,line
434,of
435,those
436,two
437,sides
438,of
439,doing
440,the
441,work
442,and
443,then
444,helping
445,to
446,tell
447,the
448,story
449,of
450,of
451,what
452,we're
453,doing
454,behind
455,the
456,scenes.
457,um
458,i
459,don't
460,know
461,if
462,that's
463,good
464,enough
465,introduction
466,for
467,you.
468,okay.
469,"yeah,"
470,it's
471,really
472,"interestingly,"
473,yeah.
474,um
475,so
476,i
477,guess
478,we'll
479,start
480,at
481,like
482,the
483,very
484,top
485,and
486,we'll
487,work
488,towards
489,like
490,just
491,very
492,specific
493,like
494,flows
495,but
496,from
497,the
